original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
231,2.0,4110,1.0,102,84,62.0,4.0,14.0,3.0,0.0,5,f,0.0015948088396969212
232,2.0,5634,1.0,135,60,70.0,4.0,13.0,3.0,0.0,5,m,0.002186168613832714
233,2.0,4052,1.0,111,81,70.0,3.455,16.0,4.0,0.0,5,m,0.0015723030215211496
234,2.0,7284,1.0,153,80,65.0,3.727,12.0,2.0,0.0,5,f,0.002826420337798631
235,2.0,3580,1.0,88,40,67.0,3.273,16.0,4.0,0.0,5,f,0.0013891522253321115
236,3.0,1736,1.0,95,70,69.0,3.818,15.0,3.0,0.0,5,f,0.0006736224198817167
237,2.0,2278,1.0,78,61,63.0,4.0,14.0,3.0,0.0,5,f,0.000883935410420824
238,2.0,3840,1.0,103,41,71.0,3.727,16.0,4.0,0.0,5,f,0.0014900403757752258
239,1.0,14338,1.0,147,71,63.5,3.909,16.0,4.0,0.0,5,f,0.0055635934655898925
240,2.0,9108,1.0,159,73,62.0,4.0,11.0,1.0,0.0,5,f,0.0035341895162918635
241,3.0,1736,1.0,95,72,68.0,4.0,13.0,3.0,0.0,5,m,0.0006736224198817167
242,2.0,5210,1.0,119,65,63.0,3.727,15.0,3.0,0.0,5,f,0.0020216433223408663
243,2.0,2750,1.0,101,65,69.0,3.636,14.0,3.0,0.0,5,m,0.001067086206609862
244,2.0,2808,1.0,92,65,69.0,4.0,16.0,4.0,0.0,5,m,0.0010895920247856337
245,2.0,2740,1.0,86,62,63.0,3.909,16.0,4.0,0.0,5,f,0.001063205893131281
246,2.0,2538,1.0,93,56,63.0,3.455,14.0,3.0,0.0,5,f,0.0009848235608639383
247,2.0,7950,1.0,151,69,70.5,3.545,16.0,4.0,0.0,5,m,0.0030848492154721473
248,2.0,5672,1.0,139,69,75.0,3.727,16.0,5.0,0.0,5,m,0.002200913805051323
249,2.0,5268,1.0,110,53,66.0,4.0,12.0,3.0,0.0,2,f,0.0020441491405166377
250,3.0,1264,1.0,72,67,72.0,4.0,14.0,3.0,0.0,5,m,0.0004904716236926785
251,2.0,3966,1.0,100,52,67.0,4.0,16.0,4.0,0.0,5,f,0.0015389323256053504
252,2.0,4950,1.0,104,76,68.0,4.0,12.0,2.0,0.0,5,f,0.001920755171897752
253,3.0,1052,1.0,64,69,62.0,3.727,14.0,3.0,0.0,5,f,0.0004082089779467546
254,2.0,9320,1.0,183,55,72.0,-999.0,13.0,3.0,0.0,2,m,0.0036164521620377873
255,2.0,5914,1.0,137,76,65.5,3.818,18.0,6.0,0.0,5,f,0.002294817391232991
256,2.0,3310,1.0,117,54,67.0,4.0,15.0,3.0,0.0,2,f,0.0012843837614104159
257,2.0,7526,1.0,163,65,70.0,3.0,14.0,3.0,0.0,2,m,0.0029203239239802992
258,2.0,5210,1.0,119,60,65.0,3.364,15.0,3.0,0.0,5,f,0.0020216433223408663
259,3.0,1910,1.0,99,63,72.0,3.727,16.0,4.0,0.0,5,m,0.0007411398744090315
260,2.0,1998,1.0,64,51,69.0,4.0,16.0,4.0,0.0,5,m,0.0007752866330205471
261,2.0,3068,1.0,107,54,71.0,3.091,14.0,3.0,0.0,5,m,0.001190480175228748
262,2.0,6966,1.0,147,68,67.0,2.909,18.0,6.0,0.0,5,m,0.0027030263691797452
263,2.0,8162,1.0,159,69,72.0,3.455,17.0,5.0,0.0,5,m,0.003167111861218071
264,2.0,4612,1.0,127,64,61.0,3.636,14.0,3.0,0.0,5,f,0.0017896005763217034
265,2.0,5210,1.0,119,62,67.5,4.0,15.0,3.0,0.0,5,f,0.0020216433223408663
266,3.0,1824,1.0,88,67,64.0,4.0,16.0,4.0,0.0,5,f,0.0007077691784932323
267,2.0,6754,1.0,139,63,66.5,4.0,14.0,3.0,0.0,5,f,0.0026207637234338214
268,2.0,2982,1.0,96,62,74.0,3.273,16.0,4.0,0.0,5,m,0.0011571094793129488
269,2.0,2422,1.0,80,63,69.0,3.727,16.0,4.0,0.0,5,f,0.000939811924512395
270,2.0,2422,1.0,80,62,66.0,4.0,16.0,4.0,0.0,5,f,0.000939811924512395
271,3.0,2122,1.0,107,62,70.0,3.636,15.0,3.0,0.0,5,m,0.0008234025201549554
272,2.0,2210,1.0,72,51,65.0,4.0,13.0,3.0,0.0,5,f,0.000857549278766471
273,2.0,9320,1.0,167,70,73.0,2.818,15.0,3.0,0.0,5,m,0.0036164521620377873
274,3.0,1138,1.0,75,71,65.0,4.0,12.0,2.0,0.0,5,f,0.00044157967386255386
275,2.0,2634,1.0,88,72,64.0,3.818,13.0,3.0,0.0,5,f,0.0010220745702583189
276,2.0,5210,1.0,119,53,72.0,3.273,16.0,4.0,0.0,5,m,0.0020216433223408663
277,2.0,4950,1.0,104,64,66.0,4.0,16.0,4.0,0.0,5,f,0.001920755171897752
278,2.0,2508,1.0,91,71,64.0,3.455,12.0,2.0,0.0,5,f,0.0009731826204281943
279,2.0,12938,1.0,193,62,63.0,3.455,13.0,3.0,1.0,6,f,0.005020349578588508
280,2.0,2576,1.0,97,74,64.0,4.0,16.0,4.0,0.0,2,f,0.0009995687520825472
281,2.0,1950,1.0,57,61,67.0,4.0,16.0,4.0,0.0,5,f,0.0007566611283233568
282,2.0,2894,1.0,103,70,72.0,3.182,16.0,4.0,0.0,5,m,0.0011229627207014331
283,2.0,3174,1.0,117,75,63.0,3.273,12.0,3.0,0.0,5,f,0.0012316114981017101
284,2.0,6108,1.0,112,78,68.0,3.273,15.0,3.0,0.0,5,m,0.0023700954727174685
285,3.0,1110,1.0,55,51,67.0,4.0,16.0,4.0,0.0,5,f,0.0004307147961225262
286,2.0,10266,1.0,167,74,66.0,3.636,16.5,5.0,0.0,5,f,0.00398352981711158
287,2.0,3792,1.0,96,61,64.0,3.818,13.0,3.0,0.0,5,f,0.0014714148710780353
288,2.0,4014,1.0,135,57,66.0,2.909,15.0,3.0,0.0,2,f,0.0015575578303025407
289,2.0,4950,1.0,104,66,62.0,4.0,12.0,2.0,0.0,5,f,0.001920755171897752
290,2.0,7496,1.0,161,59,74.0,3.636,16.0,4.0,0.0,2,m,0.0029086829835445554
291,2.0,5596,1.0,131,87,61.0,3.636,16.0,4.0,0.0,5,m,0.002171423422614105
292,2.0,9108,1.0,159,68,65.0,3.455,21.0,7.0,0.0,5,f,0.0035341895162918635
293,3.0,1052,1.0,64,56,62.0,4.0,14.0,3.0,0.0,5,f,0.0004082089779467546
294,2.0,3666,1.0,99,58,68.0,3.818,14.0,3.0,0.0,5,f,0.001422522921247911
295,2.0,3580,1.0,88,72,62.0,3.636,14.0,3.0,0.0,5,f,0.0013891522253321115
296,2.0,2036,1.0,68,74,62.0,4.0,16.0,4.0,0.0,5,f,0.0007900318242391562
297,2.0,10652,1.0,179,55,72.0,3.727,11.0,1.0,0.0,5,m,0.004133309917384819
298,3.0,1438,1.0,76,70,63.0,3.636,18.0,6.0,0.0,5,f,0.0005579890782199934
299,2.0,5210,1.0,147,70,72.0,3.636,12.0,2.0,0.0,5,m,0.0020216433223408663
300,2.0,6754,1.0,139,83,75.0,3.273,14.0,3.0,0.0,5,m,0.0026207637234338214
301,2.0,6108,1.0,112,75,73.0,3.636,16.0,4.0,0.0,5,m,0.0023700954727174685
302,3.0,1052,1.0,64,51,68.0,4.0,13.0,3.0,0.0,5,f,0.0004082089779467546
303,2.0,3580,1.0,88,68,64.0,3.636,14.0,3.0,0.0,5,f,0.0013891522253321115
304,3.0,1052,1.0,64,70,63.0,4.0,16.0,4.0,0.0,5,f,0.0004082089779467546
305,2.0,4052,1.0,111,69,61.0,3.727,13.0,3.0,0.0,5,f,0.0015723030215211496
306,2.0,4052,1.0,111,66,64.0,3.455,14.0,3.0,0.0,5,f,0.0015723030215211496
307,2.0,6406,1.0,131,77,69.0,3.636,15.0,3.0,0.0,5,m,0.0024857288143791917
308,2.0,7580,1.0,166,82,65.0,3.273,21.0,7.0,0.0,5,m,0.0029412776167646384
309,2.0,2210,1.0,72,79,66.0,4.0,14.0,3.0,0.0,5,f,0.000857549278766471
310,2.0,4950,1.0,104,67,61.0,3.364,15.0,3.0,0.0,5,f,0.001920755171897752
311,2.0,7004,1.0,167,51,67.0,3.455,14.0,3.0,0.0,2,m,0.0027177715603983544
312,,0,2.0,0,71,71.0,4.0,16.0,4.0,0.0,5,m,0.0
313,2.0,6392,1.0,156,53,70.0,3.636,14.0,3.0,1.0,5,m,0.002480296375509178
314,2.0,4140,1.0,104,64,67.0,3.636,17.0,5.0,0.0,5,m,0.0016064497801326653
315,2.0,3580,1.0,88,87,72.0,3.909,16.0,4.0,0.0,5,m,0.0013891522253321115
316,2.0,5544,1.0,136,73,-999.0,-999.0,14.0,3.0,0.0,5,f,0.0021512457925254823
317,2.0,5596,1.0,131,76,77.0,3.727,16.0,4.0,0.0,5,m,0.002171423422614105
318,2.0,8162,1.0,159,81,60.0,3.909,13.0,3.0,0.0,5,f,0.003167111861218071
319,2.0,10796,1.0,181,79,-999.0,-999.0,15.0,3.0,1.0,5,f,0.0041891864314763895
320,2.0,5982,1.0,143,68,69.0,4.0,18.0,6.0,0.0,2,m,0.0023212035228873436
321,2.0,7980,1.0,153,85,63.0,2.909,15.0,3.0,0.0,5,f,0.003096490155907891
322,2.0,6754,1.0,139,85,71.0,3.818,14.0,3.0,0.0,5,m,0.0026207637234338214
323,2.0,2422,1.0,80,24,64.0,3.364,16.0,4.0,0.0,5,f,0.000939811924512395
324,3.0,1226,1.0,68,73,68.0,4.0,14.0,3.0,0.0,5,f,0.00047572643247406946
325,2.0,9108,1.0,159,78,67.5,2.818,16.0,4.0,0.0,5,f,0.0035341895162918635
326,2.0,2856,1.0,99,82,72.0,3.545,16.0,4.0,0.0,5,m,0.0011082175294828242
327,2.0,2422,1.0,80,72,68.0,3.273,15.0,3.0,0.0,5,m,0.000939811924512395
328,2.0,12362,1.0,194,79,76.0,3.727,15.0,3.0,0.0,3,m,0.004796843522222224
329,2.0,4438,1.0,123,75,72.0,3.455,14.0,3.0,0.0,5,m,0.0017220831217943885
330,2.0,3068,1.0,107,73,67.0,3.545,16.0,4.0,0.0,5,f,0.001190480175228748
331,3.0,1144,1.0,71,71,66.0,3.636,14.0,3.0,0.0,5,f,0.00044390786194970264
332,2.0,2422,1.0,80,51,68.0,3.818,18.0,6.0,0.0,5,f,0.000939811924512395
333,2.0,2422,1.0,80,72,65.0,4.0,14.0,3.0,0.0,5,f,0.000939811924512395
334,2.0,1950,1.0,57,76,62.0,4.0,12.0,2.0,0.0,5,f,0.0007566611283233568
335,2.0,3334,1.0,118,23,64.0,3.636,16.0,5.0,0.0,5,f,0.001293696513759011
336,2.0,2422,1.0,80,66,65.0,4.0,14.0,3.0,0.0,5,f,0.000939811924512395
337,2.0,9494,1.0,171,73,65.5,2.818,16.0,4.0,0.0,5,m,0.0036839696165651024
338,3.0,1978,1.0,105,70,72.0,3.818,18.0,6.0,0.0,5,m,0.0007675260060633845
339,2.0,4476,1.0,127,53,69.0,3.455,13.0,3.0,0.0,5,m,0.0017368283130129974
340,2.0,8124,1.0,155,57,67.0,3.0,16.0,4.0,0.0,5,m,0.003152366669999462
341,2.0,15344,1.0,208,71,66.0,3.273,13.5,3.0,1.0,6,m,0.005953953001535173
342,1.0,17078,1.0,179,25,63.0,3.545,17.5,5.0,0.0,5,f,0.0066267993587211735
343,2.0,11318,1.0,177,57,60.0,2.455,15.0,3.0,1.0,5,f,0.004391738795058334
344,2.0,3454,1.0,119,65,70.0,3.182,18.0,6.0,0.0,5,m,0.001340260275501987
345,2.0,5596,1.0,131,55,74.0,3.455,16.0,4.0,0.0,5,m,0.002171423422614105
346,2.0,2894,1.0,103,62,70.0,3.818,18.0,6.0,0.0,5,f,0.0011229627207014331
347,3.0,792,1.0,49,57,62.0,3.727,14.0,3.0,0.0,5,f,0.0003073208275036403
348,2.0,2634,1.0,88,57,60.0,3.727,14.0,3.0,0.0,5,f,0.0010220745702583189
349,3.0,1910,1.0,99,53,71.0,4.0,13.0,3.0,0.0,5,m,0.0007411398744090315
350,2.0,2210,1.0,72,87,71.0,4.0,16.0,4.0,0.0,5,m,0.000857549278766471
351,2.0,6792,1.0,143,56,64.0,3.818,14.5,3.0,0.0,5,f,0.0026355089146524306
352,2.0,9350,1.0,169,65,60.0,2.909,14.0,3.0,1.0,5,f,0.0036280931024735316
353,1.0,29120,1.0,215,57,-999.0,-999.0,-999.0,-999.0,0.0,2,f,0.011299472849628796
354,2.0,6368,1.0,155,71,62.0,3.727,17.0,5.0,0.0,5,f,0.0024709836231605825
355,2.0,6754,1.0,139,58,71.0,3.636,18.0,6.0,0.0,5,f,0.0026207637234338214
356,2.0,9578,1.0,185,61,63.0,3.909,12.0,3.0,1.0,6,f,0.0037165642497851855
357,2.0,2596,1.0,84,54,69.0,3.727,16.0,4.0,0.0,5,f,0.00100732937903971
358,2.0,4052,1.0,111,63,64.0,3.727,13.0,3.0,0.0,5,f,0.0015723030215211496
359,1.0,14202,1.0,147,71,67.25,4.0,14.0,3.0,0.0,5,m,0.0055108212022811865
360,,0,2.0,0,81,64.0,4.0,16.0,4.0,0.0,5,f,0.0
361,2.0,4052,1.0,111,67,66.0,3.455,14.0,3.0,0.0,5,f,0.0015723030215211496
362,3.0,1350,1.0,83,70,69.0,3.818,18.0,6.0,0.0,5,f,0.0005238423196084778
363,2.0,1998,1.0,64,64,64.0,4.0,14.0,3.0,0.0,5,f,0.0007752866330205471
364,2.0,3792,1.0,96,74,72.0,4.0,14.0,3.0,0.0,5,m,0.0014714148710780353
365,2.0,5952,1.0,141,63,61.0,3.909,15.0,3.0,0.0,5,f,0.0023095625824516
366,2.0,6338,1.0,153,69,-999.0,3.636,12.0,2.0,0.0,5,f,0.0024593426827248387
367,3.0,666,1.0,52,70,63.0,4.0,18.0,6.0,0.0,5,f,0.00025842887767351573
368,2.0,4438,1.0,123,69,69.0,3.818,14.0,3.0,0.0,5,m,0.0017220831217943885
369,2.0,2682,1.0,95,67,64.0,3.545,14.0,3.0,0.0,5,f,0.0010407000749555093
370,2.0,4190,1.0,147,61,62.0,3.636,16.0,5.0,1.0,5,f,0.001625851347525572
371,2.0,4998,1.0,139,60,70.0,3.182,16.0,4.0,0.0,5,f,0.0019393806765949423
372,2.0,6792,1.0,143,69,72.0,3.727,21.0,7.0,0.0,5,m,0.0026355089146524306
373,2.0,4980,1.0,106,64,72.0,4.0,18.0,6.0,0.0,5,m,0.0019323961123334959
374,2.0,1950,1.0,57,67,67.0,4.0,21.0,7.0,0.0,5,m,0.0007566611283233568
375,3.0,580,1.0,41,61,63.0,4.0,16.0,4.0,0.0,5,f,0.0002250581817577164
376,2.0,3792,1.0,96,75,72.0,3.636,18.0,6.0,0.0,5,m,0.0014714148710780353
377,2.0,6966,1.0,147,29,66.0,3.545,18.0,6.0,0.0,2,f,0.0027030263691797452
378,2.0,3242,1.0,111,54,65.0,4.0,17.0,5.0,0.0,5,f,0.001257997629756063
379,2.0,11234,1.0,188,24,71.0,3.364,16.5,5.0,0.0,6,m,0.004359144161838252
380,2.0,8336,1.0,163,37,73.0,4.0,12.0,2.0,0.0,2,m,0.0032346293157453857
381,2.0,8722,1.0,147,49,65.0,4.0,18.0,6.0,0.0,2,f,0.0033844094160186246
382,2.0,4052,1.0,111,51,66.0,3.545,16.0,4.0,0.0,5,f,0.0015723030215211496
383,2.0,3068,1.0,107,60,63.0,3.909,18.0,6.0,0.0,5,f,0.001190480175228748
384,2.0,2596,1.0,84,80,67.0,3.909,18.0,6.0,0.0,5,m,0.00100732937903971
385,2.0,1950,1.0,57,75,69.0,3.636,16.0,4.0,0.0,5,m,0.0007566611283233568
386,2.0,4438,1.0,123,71,70.0,3.545,21.0,7.0,0.0,5,m,0.0017220831217943885
387,2.0,5634,1.0,135,65,76.0,3.545,17.0,5.0,0.0,5,m,0.002186168613832714
388,2.0,8298,1.0,159,55,66.0,-999.0,18.0,6.0,0.0,2,f,0.003219884124526777
389,1.0,14164,1.0,143,54,63.75,3.818,16.0,4.0,0.0,5,f,0.005496076011062578
390,2.0,8162,1.0,159,21,70.0,3.545,14.5,3.0,0.0,5,f,0.003167111861218071
391,2.0,10652,1.0,179,21,72.0,4.0,12.0,2.0,0.0,1,m,0.004133309917384819
392,2.0,7140,1.0,151,21,71.0,3.455,15.0,3.0,0.0,1,m,0.0027705438237070603
393,2.0,8268,1.0,157,23,71.0,3.182,15.0,3.0,0.0,1,m,0.0032082431840910327
394,2.0,5268,1.0,110,59,64.0,4.0,16.0,4.0,0.0,5,f,0.0020441491405166377
395,2.0,10796,1.0,181,25,69.0,3.0,15.0,3.0,0.0,1,m,0.0041891864314763895
396,2.0,9108,1.0,159,66,67.0,2.727,18.0,6.0,0.0,5,f,0.0035341895162918635
397,1.0,17078,1.0,179,65,69.0,2.091,18.0,6.0,0.0,6,m,0.0066267993587211735
398,2.0,3106,1.0,111,81,65.0,3.545,15.0,3.0,0.0,5,f,0.0012052253664473571
399,2.0,3106,1.0,111,65,72.0,3.545,16.0,5.0,0.0,5,m,0.0012052253664473571
400,2.0,4302,1.0,123,73,64.0,4.0,12.0,3.0,0.0,4,f,0.0016693108584856825
401,2.0,2422,1.0,80,67,71.0,4.0,21.0,7.0,0.0,5,m,0.000939811924512395
402,3.0,1824,1.0,88,68,67.0,4.0,16.0,4.0,0.0,5,f,0.0007077691784932323
403,2.0,6300,1.0,149,63,63.0,4.0,18.0,6.0,1.0,5,f,0.0024445974915062296
404,2.0,3772,1.0,125,33,62.0,4.0,18.0,6.0,0.0,2,f,0.0014636542441208728
405,2.0,5596,1.0,131,43,66.0,3.182,15.0,3.0,0.0,5,f,0.002171423422614105
406,2.0,3068,1.0,107,83,62.0,4.0,12.0,3.0,0.0,5,f,0.001190480175228748
407,2.0,5808,1.0,139,61,-999.0,3.636,18.0,6.0,0.0,5,f,0.002253686068360029
408,3.0,1698,1.0,91,81,66.0,3.364,16.0,4.0,0.0,5,m,0.0006588772286631076
409,2.0,2210,1.0,72,74,74.0,3.909,16.0,4.0,0.0,5,m,0.000857549278766471
410,2.0,7670,1.0,165,71,70.5,3.273,17.0,5.0,0.0,5,m,0.00297620043807187
411,2.0,6580,1.0,135,47,60.0,3.909,18.0,6.0,0.0,5,f,0.0025532462689065068
412,2.0,2596,1.0,84,51,72.0,4.0,16.0,4.0,0.0,5,f,0.00100732937903971
413,2.0,2104,1.0,74,63,67.0,3.636,18.0,6.0,0.0,5,f,0.0008164179558935091
414,2.0,8510,1.0,167,41,73.0,3.545,12.0,3.0,0.0,5,m,0.003302146770272701
415,3.0,1052,1.0,64,51,65.0,4.0,18.0,6.0,0.0,5,f,0.0004082089779467546
416,2.0,3840,1.0,103,40,65.0,3.636,16.0,4.0,0.0,5,f,0.0014900403757752258
417,3.0,1910,1.0,99,57,65.0,4.0,16.0,4.0,0.0,5,f,0.0007411398744090315
418,3.0,1910,1.0,99,40,64.0,3.909,16.0,4.0,0.0,5,f,0.0007411398744090315
419,2.0,10266,1.0,167,45,66.0,4.0,21.0,7.0,0.0,4,f,0.00398352981711158
420,2.0,6966,1.0,147,49,64.0,3.545,12.0,2.0,0.0,5,f,0.0027030263691797452
421,2.0,3966,1.0,100,83,69.0,4.0,18.0,6.0,0.0,5,m,0.0015389323256053504
422,1.0,13952,1.0,135,77,64.5,4.0,14.0,3.0,0.0,5,f,0.005413813365316654
423,2.0,2210,1.0,72,50,75.0,3.818,16.0,4.0,0.0,5,m,0.000857549278766471
424,2.0,4052,1.0,111,60,67.0,3.364,14.0,3.0,0.0,5,f,0.0015723030215211496
425,2.0,5124,1.0,108,52,69.0,4.0,18.0,6.0,0.0,5,m,0.001988272626425067
426,3.0,792,1.0,49,71,64.0,3.636,14.0,3.0,0.0,5,f,0.0003073208275036403
427,2.0,5036,1.0,115,37,66.0,3.364,16.0,4.0,0.0,5,f,0.001954125867813551
428,3.0,1736,1.0,95,54,65.0,3.818,18.0,6.0,0.0,5,f,0.0006736224198817167
429,2.0,5422,1.0,127,49,64.0,3.818,21.0,7.0,0.0,5,f,0.00210390596808679
430,2.0,4370,1.0,117,74,69.0,3.364,16.0,4.0,0.0,5,m,0.0016956969901400355
431,2.0,3280,1.0,115,33,70.0,3.636,21.0,7.0,0.0,5,m,0.001272742820974672
432,,0,2.0,0,81,64.0,4.0,16.0,4.0,0.0,5,f,0.0
433,2.0,6966,1.0,147,81,63.0,3.364,12.0,2.0,0.0,5,f,0.0027030263691797452
434,2.0,11250,1.0,171,84,66.0,2.727,16.0,4.0,0.0,5,m,0.004365352663403981
435,2.0,2808,1.0,92,60,62.0,3.182,18.0,6.0,0.0,5,f,0.0010895920247856337
436,3.0,1524,1.0,87,71,64.0,4.0,18.0,6.0,0.0,5,f,0.0005913597741357928
437,2.0,3840,1.0,103,46,65.0,3.545,14.0,3.0,0.0,5,f,0.0014900403757752258
438,2.0,6108,1.0,112,25,68.0,4.0,16.0,4.0,0.0,5,f,0.0023700954727174685
439,2.0,2682,1.0,95,50,64.0,3.818,16.0,4.0,0.0,5,f,0.0010407000749555093
440,2.0,4052,1.0,111,41,62.0,3.818,16.0,4.0,0.0,5,f,0.0015723030215211496
441,2.0,3666,1.0,127,71,70.0,3.909,15.0,3.0,0.0,5,m,0.001422522921247911
442,2.0,6108,1.0,112,26,72.0,3.364,18.0,6.0,0.0,5,m,0.0023700954727174685
443,2.0,4052,1.0,111,50,61.0,3.727,16.0,4.0,0.0,5,f,0.0015723030215211496
444,3.0,792,1.0,49,53,71.0,3.727,16.0,4.0,0.0,5,m,0.0003073208275036403
445,2.0,6108,1.0,112,38,60.0,4.0,16.0,4.0,0.0,5,f,0.0023700954727174685
446,2.0,9176,1.0,165,29,62.0,3.455,13.0,3.0,0.0,5,f,0.0035605756479462165
447,2.0,3280,1.0,115,55,66.0,4.0,13.0,3.0,0.0,5,f,0.001272742820974672
448,2.0,8124,1.0,155,86,73.0,4.0,17.0,5.0,0.0,5,m,0.003152366669999462
449,2.0,5074,1.0,135,57,64.0,3.0,14.0,3.0,0.0,5,f,0.0019688710590321603
450,2.0,2596,1.0,84,51,68.0,3.636,18.0,6.0,0.0,5,f,0.00100732937903971
451,2.0,5452,1.0,129,46,68.0,3.636,14.0,3.0,0.0,5,m,0.002115546908522534
452,2.0,4980,1.0,106,48,70.0,3.545,15.0,3.0,0.0,5,m,0.0019323961123334959
453,2.0,8336,1.0,163,84,70.0,4.0,15.0,3.0,0.0,4,f,0.0032346293157453857
454,2.0,5278,1.0,125,21,75.0,3.455,14.0,3.0,0.0,5,m,0.0020480294539952193
455,2.0,6194,1.0,151,53,67.0,3.727,21.0,7.0,0.0,5,f,0.002403466168633268
456,2.0,6108,1.0,112,48,72.0,4.0,18.0,6.0,0.0,5,m,0.0023700954727174685
457,2.0,20408,1.0,221,29,61.0,3.182,11.0,1.0,1.0,3,f,0.007918943747088751
458,2.0,6406,1.0,131,48,64.0,3.909,14.0,3.0,0.0,5,f,0.0024857288143791917
459,2.0,4264,1.0,119,53,69.0,3.727,18.0,6.0,0.0,5,m,0.0016545656672670736
460,3.0,2084,1.0,103,54,66.0,3.818,21.0,7.0,0.0,5,m,0.0008086573289363464
461,2.0,5422,1.0,127,23,63.0,3.273,17.0,5.0,0.0,5,f,0.00210390596808679
462,2.0,7738,1.0,143,26,77.0,3.636,16.0,4.0,0.0,5,m,0.003002586569726223
463,2.0,5808,1.0,139,25,66.0,3.545,21.0,7.0,0.0,5,f,0.002253686068360029
